Name,State,Code,2024 estimate,2020 census,area,density,coordinates
Colorado Springs,CO,COS,"493,554","478,961",195.4,"2,451",38.87°N 104.76°W
Omaha,NE,OMA,"489,265","486,051",141.6,"3,433",41.26°N 96.05°W
Miami,FL,MIA,"487,014","442,241",36,"12,284",25.78°N 80.21°W
Virginia Beach,VA,VIR,"454,808","459,470",244.7,"1,878",36.78°N 76.03°W
Long Beach,CA,LON,"450,901","466,742",50.7,"9,206",33.78°N 118.17°W
Oakland,CA,OAK,"443,554","440,646",55.9,"7,883",37.77°N 122.23°W
Minneapolis,MN,MIN,"428,579","429,954",54,"7,962",44.96°N 93.27°W
Bakersfield,CA,BAK,"417,468","403,455",149.8,"2,693",35.35°N 119.04°W
Tulsa,OK,TUL,"415,154","413,066",197.5,"2,091",36.13°N 95.90°W
Tampa,FL,TAM,"414,547","384,959",114,"3,377",27.97°N 82.47°W
Arlington,TX,ARL,"403,672","394,266",95.9,"4,111",32.70°N 97.12°W
Aurora,CO,AUC,"403,130","386,261",160.1,"2,413",39.70°N 104.72°W
Wichita,KS,WIC,"400,991","397,532",162,"2,454",37.69°N 97.35°W
Cleveland,OH,CLE,"365,379","372,624",77.7,"4,796",41.48°N 81.68°W
New Orleans,LA,NOL,"362,701","383,997",169.5,"2,265",30.05°N 89.93°W
Henderson,NV,HEN,"350,039","317,610",106.2,"2,991",36.01°N 115.04°W
Honolulu,HI,HON,"344,967","350,964",60.5,"5,801",21.32°N 157.85°W
Anaheim,CA,ANA,"344,561","346,824",50.3,"6,895",33.86°N 117.76°W
Orlando,FL,ORL,"334,854","307,573",110.6,"2,781",28.41°N 81.25°W
San Juan,PR,SNJ,"332,454","342,259",39.8,"8,599",18.40°N 66.06°W
Lexington,KY,LEX,"329,437","322,570",283.6,"1,137",38.04°N 84.46°W
Stockton,CA,STO,"324,975","320,804",62.2,"5,158",37.98°N 121.31°W
Riverside,CA,RIV,"323,757","314,998",81.2,"3,879",33.94°N 117.39°W
Irvine,CA,IRV,"318,683","307,670",65.6,"4,690",33.68°N 117.77°W
Corpus Christi,TX,CRP,"317,317","317,863",162.2,"1,960",27.75°N 97.17°W
Newark,NJ,NEW,"317,303","311,549",24.1,"12,927",40.72°N 74.17°W
Santa Ana,CA,SAA,"316,184","310,227",27.3,"11,364",33.74°N 117.88°W
Cincinnati,OH,CIN,"314,915","309,317",77.8,"3,976",39.14°N 84.51°W
Pittsburgh,PA,PIT,"307,668","302,971",55.4,"5,469",40.44°N 79.98°W
Saint Paul,MN,SAI,"307,465","311,527",52,"5,991",44.95°N 93.10°W
Greensboro,NC,GBO,"307,381","299,035",129.6,"2,307",36.10°N 79.83°W
Jersey City,NJ,JER,"302,824","292,449",14.7,"19,894",40.71°N 74.06°W
Durham,NC,DUR,"301,870","283,506",112.8,"2,513",35.98°N 78.90°W
Lincoln,NE,LIN,"300,619","291,082",97.7,"2,979",40.81°N 96.68°W
North Las Vegas,NV,NLV,"294,034","262,527",101.3,"2,592",36.28°N 115.09°W
Plano,TX,PLA,"293,286","285,494",71.7,"3,982",33.05°N 96.75°W
Anchorage,AK,ANC,"289,600","291,247","1,706.80",171,61.17°N 149.28°W
Gilbert,AZ,GIL,"288,790","267,918",68.6,"3,906",33.31°N 111.74°W
Madison,WI,MAD,"285,300","269,840",79.6,"3,390",43.09°N 89.43°W
Reno,NV,REN,"281,714","264,165",108.8,"2,428",39.55°N 119.85°W
Chandler,AZ,CHN,"281,231","275,987",65.3,"4,226",33.28°N 111.85°W
St. Louis,MO,STL,"279,695","301,578",61.7,"4,888",38.64°N 90.24°W
Chula Vista,CA,CHU,"278,546","275,487",49.6,"5,554",32.63°N 117.02°W
Buffalo,NY,BUF,"276,617","278,349",40.4,"6,890",42.89°N 78.86°W
Fort Wayne,IN,FWA,"273,203","263,886",110.7,"2,384",41.09°N 85.14°W
Lubbock,TX,LUB,"272,086","257,141",134.6,"1,910",33.57°N 101.89°W
St. Petersburg,FL,STP,"267,102","258,308",61.8,"4,180",27.77°N 82.64°W
Toledo,OH,TOL,"265,638","270,871",80.5,"3,365",41.66°N 83.58°W
Laredo,TX,LAR,"261,260","255,205",106.5,"2,396",27.56°N 99.49°W
Port St. Lucie,FL,LUC,"258,575","204,851",119.2,"1,719",27.28°N 80.39°W
Glendale,AZ,GLN,"258,143","248,325",61.6,"4,031",33.53°N 112.19°W
Irving,TX,IVG,"258,060","256,684",67,"3,831",32.86°N 96.97°W
Winston-Salem,NC,WIN,"255,769","249,545",132.7,"1,881",36.10°N 80.26°W
Chesapeake,VA,CHS,"254,997","249,422",338.5,737,36.68°N 76.30°W
Garland,TX,GAR,"250,431","246,018",57.1,"4,309",32.91°N 96.63°W
